,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
245,X15p.d_50r.d_b,49,0.224489796,0.421569791,0.060224256,0.121088982,-15,-50,X15p.d_50r.d_b,Rep,51,0.137254902,0.347540377,0.048665387,0.097747306,-15,-50,0.087234894
247,X15p.d_50r.u_b,49,0.06122449,0.242226071,0.034603724,0.069575451,-15,50,X15p.d_50r.u_b,Rep,54,0.222222222,0.419643455,0.057106241,0.114540614,-15,50,-0.160997732
249,X15p.d_r.nc_b,54,0.111111111,0.317220634,0.043168261,0.086584566,-15,0,X15p.d_r.nc_b,Rep,45,0.155555556,0.3665289,0.054638902,0.110117472,-15,0,-0.044444444
251,X15p.u_05r.d_b,51,0.901960784,0.30032662,0.042054138,0.084468223,15,-5,X15p.u_05r.d_b,Rep,52,0.807692308,0.397958592,0.055186927,0.110792379,15,-5,0.094268477
253,X15p.u_05r.u_b,47,0.872340426,0.337318149,0.049202909,0.099040319,15,5,X15p.u_05r.u_b,Rep,46,0.891304348,0.314696388,0.046399451,0.093453291,15,5,-0.018963922
255,X15p.u_10r.d_b,45,0.977777778,0.149071198,0.022222222,0.044785946,15,-10,X15p.u_10r.d_b,Rep,52,0.75,0.437237316,0.060633906,0.121727646,15,-10,0.227777778
257,X15p.u_10r.u_b,40,0.85,0.361620285,0.057177187,0.115651778,15,10,X15p.u_10r.u_b,Rep,52,0.961538462,0.194183909,0.026928463,0.054061146,15,10,-0.111538462
259,X15p.u_15r.d_b,47,0.893617021,0.311660528,0.04546036,0.091506959,15,-15,X15p.u_15r.d_b,Rep,53,0.735849057,0.445099099,0.061139063,0.122684506,15,-15,0.157767965
261,X15p.u_15r.u_b,49,0.836734694,0.373437789,0.053348256,0.107263857,15,15,X15p.u_15r.u_b,Rep,52,0.923076923,0.269069118,0.037313173,0.074909321,15,15,-0.086342229
263,X15p.u_20r.d_b,50,0.86,0.350509833,0.049569576,0.099613792,15,-20,X15p.u_20r.d_b,Rep,48,0.625,0.489246055,0.070616585,0.142062246,15,-20,0.235
265,X15p.u_20r.u_b,48,0.708333333,0.459339643,0.066299967,0.133378329,15,20,X15p.u_20r.u_b,Rep,49,0.857142857,0.353553391,0.050507627,0.101552391,15,20,-0.148809524
267,X15p.u_25r.d_b,44,0.909090909,0.290803363,0.043840257,0.088412303,15,-25,X15p.u_25r.d_b,Rep,52,0.461538462,0.503382226,0.069806555,0.140142507,15,-25,0.447552448
